iter	RMSE
0	13.9768087
1	13.40147001
2	12.84380853
3	12.32500293
4	11.88105512
5	11.45325268
6	11.02890024
7	10.64122838
8	10.29527188
9	9.972338495
10	9.661466959
11	9.373373726
12	9.120976118
13	8.875846496
14	8.646071519
15	8.431649281
16	8.250831887
17	8.07730783
18	7.923166568
19	7.780395752
20	7.646331222
21	7.522884079
22	7.408726396
23	7.29753911
24	7.202418242
25	7.112430615
26	7.035469615
27	6.953552298
28	6.880664715
29	6.818219647
30	6.762704086
31	6.706290805
32	6.656879265
33	6.61059051
34	6.569027459
35	6.528836211
36	6.493663486
37	6.458820204
38	6.423565624
39	6.394982698
40	6.375361744
41	6.346103759
42	6.317535408
43	6.29331942
44	6.272809067
45	6.252083676
46	6.231478554
47	6.215053181
48	6.196067527
49	6.179954072
50	6.164078073
51	6.149587893
52	6.136052273
53	6.12296243
54	6.109018072
55	6.095716732
56	6.084042778
57	6.071794723
58	6.060982793
59	6.051055884
60	6.040638768
61	6.029956439
62	6.022110904
63	6.00667986
64	5.997474216
65	5.991043689
66	5.984525635
67	5.971676178
68	5.966402557
69	5.960811362
70	5.94326046
71	5.937174836
72	5.932106696
73	5.928181551
74	5.922609093
75	5.911771331
76	5.901879688
77	5.8960952
78	5.891659411
79	5.888023432
80	5.884382233
81	5.878230986
82	5.874493486
83	5.864979627
84	5.857323343
85	5.854838316
86	5.847472155
87	5.842287842
88	5.835888334
89	5.829141549
90	5.818888012
91	5.815023293
92	5.809785799
93	5.806726193
94	5.803899688
95	5.800333544
96	5.792055434
97	5.78815637
98	5.784009693
99	5.779480593
100	5.776195181
101	5.770954604
102	5.767686667
103	5.76348635
104	5.757708419
105	5.751354759
106	5.74728182
107	5.742867299
108	5.739263971
109	5.732435846
110	5.729565434
111	5.726328332
112	5.723269505
113	5.719065105
114	5.715874624
115	5.713788966
116	5.711735959
117	5.710495583
118	5.709926935
119	5.704674365
120	5.69870511
121	5.696352235
122	5.694033938
123	5.691625865
124	5.687535494
125	5.680564221
126	5.675320212
127	5.672380883
128	5.669982646
129	5.667649329
130	5.664902211
131	5.661970876
132	5.659772744
133	5.656705308
134	5.65425512
135	5.64989671
136	5.645984462
137	5.643195639
138	5.639211538
139	5.636077417
140	5.634543282
141	5.631786074
142	5.627324953
143	5.625424228
144	5.621843777
145	5.619608731
146	5.617845757
147	5.615319441
148	5.613160181
149	5.610539548
150	5.606778476
151	5.602756267
152	5.598225043
153	5.596338232
154	5.591636136
155	5.588696124
156	5.583366829
157	5.581315303
158	5.57758029
159	5.575736891
160	5.572410548
161	5.568678596
162	5.565231689
163	5.562639919
164	5.558972354
165	5.557086172
166	5.555021448
167	5.551376843
168	5.548294753
169	5.546210586
170	5.542087314
171	5.539211194
172	5.536396867
173	5.533341422
174	5.531049327
175	5.529698042
176	5.526820792
177	5.525031553
178	5.522767359
179	5.519848341
180	5.517367129
181	5.515216892
182	5.512440392
183	5.509789836
184	5.506009096
185	5.504177237
186	5.500821983
187	5.498156133
188	5.495673997
189	5.492165212
190	5.490195762
191	5.488038692
192	5.486064847
193	5.482530815
194	5.480745587
195	5.477599161
196	5.474896831
197	5.471982774
198	5.470093861
199	5.467872836
200	5.465802351
201	5.463846598
202	5.461343303
203	5.459324547
204	5.455854636
205	5.454190425
206	5.451157016
207	5.448720072
208	5.446020947
209	5.443361287
210	5.440839464
211	5.437730322
212	5.435343269
213	5.432366968
214	5.430988469
215	5.429215382
216	5.427466376
217	5.42498524
218	5.422930801
219	5.420103767
220	5.418815047
221	5.41671312
222	5.414468088
223	5.412757366
224	5.410196806
225	5.407464258
226	5.406193105
227	5.403581493
228	5.401712655
229	5.399488738
230	5.398304337
231	5.396266747
232	5.393673956
233	5.392458791
234	5.390834973
235	5.388411328
236	5.386757105
