iter	Passed	Remaining
0	59	59534
1	60	30430
2	62	20707
3	63	15933
4	65	13000
5	66	11051
6	68	9736
7	70	8770
8	72	7943
9	73	7272
10	75	6769
11	77	6356
12	78	5973
13	80	5656
14	81	5373
15	83	5139
16	85	4920
17	86	4713
18	88	4552
19	89	4385
20	90	4235
21	92	4098
22	93	3984
23	95	3868
24	96	3762
25	97	3667
26	99	3582
27	101	3506
28	102	3433
29	104	3363
30	105	3296
31	106	3227
32	107	3164
33	109	3101
34	110	3043
35	111	2990
36	113	2944
37	114	2893
38	115	2845
39	116	2800
40	117	2747
41	118	2712
42	120	2671
43	121	2633
44	122	2602
45	124	2576
46	125	2546
47	127	2519
48	128	2490
49	129	2461
50	130	2435
51	132	2412
52	133	2387
53	134	2363
54	136	2339
55	137	2316
56	138	2293
57	139	2272
58	141	2250
59	142	2236
60	144	2219
61	145	2203
62	146	2184
63	148	2169
64	149	2157
65	151	2141
66	152	2125
67	153	2110
68	155	2094
69	156	2077
70	157	2062
71	158	2047
72	160	2032
73	161	2017
74	162	2005
75	164	2000
76	165	1987
77	167	1974
78	168	1963
79	169	1951
80	171	1940
81	172	1929
82	173	1918
83	174	1906
84	176	1896
85	177	1883
86	178	1874
87	179	1864
88	181	1854
89	182	1846
90	184	1840
91	185	1833
92	187	1830
93	188	1821
94	190	1813
95	191	1804
96	192	1796
97	194	1788
98	195	1779
99	196	1771
100	198	1766
101	199	1757
102	201	1751
103	202	1744
104	203	1737
105	205	1731
106	206	1723
107	207	1716
108	209	1709
109	210	1703
110	211	1695
111	212	1688
112	214	1685
113	216	1680
114	217	1677
115	219	1670
116	220	1663
117	221	1656
118	222	1647
119	223	1641
120	225	1635
121	226	1629
122	228	1625
123	229	1619
124	230	1613
125	232	1610
126	233	1606
127	235	1601
128	236	1595
129	237	1589
130	238	1583
131	240	1578
132	241	1573
133	242	1567
134	243	1561
135	245	1556
136	246	1553
137	247	1548
138	249	1543
139	250	1538
140	251	1534
141	253	1531
142	254	1527
143	256	1525
144	258	1523
145	259	1518
146	260	1514
147	262	1509
148	263	1506
149	265	1505
150	267	1502
151	268	1497
152	269	1493
153	270	1488
154	272	1484
155	273	1479
156	274	1475
157	275	1470
158	277	1466
159	278	1462
160	280	1459
161	282	1459
162	283	1456
163	284	1452
164	286	1447
165	287	1443
166	288	1439
167	289	1435
168	291	1431
169	292	1427
170	293	1424
171	295	1420
172	296	1416
173	297	1413
174	299	1410
175	300	1407
176	301	1403
177	302	1398
178	303	1394
179	305	1389
180	306	1385
181	307	1382
182	308	1377
183	309	1374
184	311	1371
185	312	1367
186	313	1363
187	315	1360
188	316	1357
189	317	1353
190	318	1349
191	319	1346
192	321	1342
193	322	1338
194	323	1333
195	324	1331
196	325	1328
197	327	1325
198	328	1322
199	330	1320
200	331	1318
201	332	1315
202	334	1313
203	335	1310
204	337	1307
205	338	1304
206	339	1301
207	341	1299
208	342	1297
209	344	1294
210	345	1291
211	346	1288
212	347	1285
213	349	1283
214	350	1280
215	351	1277
216	353	1274
217	354	1272
218	356	1269
219	357	1267
220	359	1267
221	360	1264
222	362	1262
223	363	1260
224	365	1257
225	366	1254
226	367	1251
227	368	1248
228	370	1246
229	371	1243
230	372	1240
231	374	1238
232	375	1236
233	376	1233
234	378	1230
235	379	1228
236	381	1227
237	382	1226
238	384	1223
239	385	1220
240	386	1218
241	388	1217
242	389	1214
243	391	1211
244	392	1209
245	393	1206
246	395	1204
247	396	1201
248	398	1200
249	399	1198
250	400	1196
251	402	1193
252	403	1190
253	404	1188
254	406	1187
255	407	1184
256	409	1182
257	410	1180
258	411	1177
259	412	1175
260	414	1172
261	415	1170
262	416	1168
263	418	1165
264	419	1162
265	420	1160
266	421	1157
267	423	1155
268	424	1153
269	425	1151
270	426	1148
271	428	1146
272	429	1144
273	431	1142
274	432	1141
275	434	1139
276	435	1136
277	436	1134
278	438	1132
279	439	1130
280	440	1128
281	442	1125
282	443	1123
283	445	1122
284	446	1121
285	448	1119
286	450	1118
287	451	1116
288	452	1113
289	454	1111
290	455	1109
291	456	1107
292	458	1105
293	459	1103
294	460	1101
295	462	1098
296	463	1096
297	464	1095
298	466	1093
299	467	1091
300	468	1088
301	470	1086
302	471	1084
303	472	1082
304	474	1080
305	475	1078
306	477	1076
307	478	1074
308	479	1072
309	480	1070
310	482	1068
311	483	1066
312	485	1064
313	486	1062
314	487	1060
315	488	1057
316	490	1055
317	491	1053
318	492	1051
319	494	1051
320	495	1049
321	497	1047
322	498	1044
323	499	1042
324	501	1041
325	502	1039
326	504	1038
327	505	1035
328	506	1033
329	508	1031
330	509	1029
331	510	1027
332	511	1025
333	513	1023
334	514	1021
335	515	1019
336	517	1017
337	518	1015
