Basvuru Yili,Degerlendirme Puani,Cinsiyet,Universite Adi,Universite Turu,Burs Aliyor mu?,Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,Lise Turu,Lise Bolumu,Baska Bir Kurumdan Burs Aliyor mu?,Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Kardes Sayisi,Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Profesyonel Bir Spor Daliyla Mesgul musunuz?,Aktif olarak bir STK üyesi misiniz?,Stk Projesine Katildiniz Mi?,Girisimcilikle Ilgili Deneyiminiz Var Mi?,Ingilizce Biliyor musunuz?
2022,67.0,1,98,1,0,0,3,5,0.0,0,3,0,2,0,0,3,1,3,2.0,1,1,1,0.0,1,1
2022,67.0,1,66,1,0,1,4,5,0.0,0,0,0,4,0,0,4,1,3,1.0,1,1,1,0.0,1,1
2022,67.0,1,149,1,0,2,4,5,0.0,1,0,0,5,1,2,5,1,3,2.0,1,1,1,0.0,1,1
2022,66.0,2,24,2,1,3,4,5,0.0,1,2,1,1,0,0,2,1,1,1.0,1,1,1,0.0,1,1
2022,66.0,1,70,1,0,4,4,5,0.0,0,2,1,4,0,0,4,0,0,1.0,1,1,1,0.0,1,1
2022,66.0,1,24,2,1,5,2,5,0.0,1,0,1,6,1,2,6,1,2,1.0,1,1,1,0.0,1,1
2022,66.0,2,24,2,1,2,4,5,0.0,1,0,1,1,0,0,2,0,0,1.0,1,1,1,0.0,1,1
2022,66.0,1,123,1,0,6,4,5,0.0,1,3,0,4,0,0,5,0,0,2.0,1,1,1,0.0,1,1
2022,66.0,2,24,2,1,7,3,5,0.0,0,2,1,4,0,0,2,0,0,1.0,1,1,1,0.0,1,1
2022,66.0,1,96,1,0,8,4,5,0.0,1,0,1,4,0,0,3,1,3,2.0,1,1,1,0.0,1,1
2022,66.0,1,136,1,0,9,4,5,0.0,1,2,1,3,0,0,3,1,3,1.0,1,1,1,0.0,1,1
2022,66.0,1,146,1,0,9,5,5,0.0,1,2,0,1,0,0,2,1,3,4.0,1,1,1,0.0,1,1
2022,66.0,2,96,1,0,9,2,5,0.0,0,2,0,3,0,0,4,0,0,1.0,1,1,1,0.0,1,1
2022,66.0,2,66,1,0,10,2,5,0.0,1,2,1,4,1,2,5,1,2,2.0,1,1,1,0.0,1,1
2022,66.0,1,66,1,0,11,3,5,0.0,1,0,0,4,1,2,4,1,2,1.0,1,1,1,0.0,1,1
2022,65.0,1,66,1,0,12,4,5,0.0,1,0,0,1,0,0,3,0,0,2.0,1,1,1,0.0,1,1
2022,65.0,1,66,1,0,13,3,5,0.0,1,0,0,3,0,0,3,0,0,1.0,1,1,1,0.0,1,1
2022,65.0,1,117,1,0,6,2,5,0.0,1,3,0,1,0,0,1,1,3,3.0,1,1,1,0.0,1,1
2022,65.0,1,149,1,0,8,3,5,0.0,1,0,1,3,0,0,4,1,2,2.0,1,1,1,0.0,1,1
2022,65.0,2,98,1,0,14,3,5,0.0,1,1,1,0,0,0,2,1,1,4.0,1,1,1,0.0,1,1
2022,65.0,1,54,2,1,15,2,5,0.0,1,0,1,3,1,2,3,1,3,1.0,1,1,1,0.0,1,1
2022,65.0,1,66,1,0,5,3,4,0.0,0,0,0,4,0,0,4,0,0,1.0,1,1,1,0.0,1,1
2022,64.0,1,96,1,0,16,3,5,0.0,1,2,0,3,0,0,4,1,2,1.0,1,1,1,0.0,1,1
2022,64.0,2,18,2,1,0,3,5,0.0,1,0,0,4,1,3,4,1,3,2.0,1,1,1,0.0,1,1
2022,64.0,2,89,1,0,17,2,5,0.0,1,2,0,3,0,0,4,1,3,1.0,1,1,1,0.0,1,1
2022,64.0,2,72,1,0,18,2,5,0.0,1,0,0,1,0,0,4,1,2,4.0,1,1,1,0.0,1,1
2022,64.0,1,141,1,0,19,5,5,0.0,1,3,0,4,1,2,6,1,2,3.0,1,1,1,0.0,1,1
2022,64.0,2,1,2,0,10,1,5,0.0,0,2,0,5,1,1,4,1,3,1.0,1,1,1,0.0,1,1
2022,64.0,2,24,2,1,10,3,5,0.0,0,2,1,4,1,2,4,1,3,1.0,1,1,1,0.0,1,1
2022,64.0,2,54,2,1,20,4,5,0.0,1,2,1,3,1,3,4,0,0,0.0,1,1,1,0.0,1,1
2022,64.0,2,70,1,0,12,4,5,0.0,1,0,0,3,0,0,5,1,2,1.0,1,1,1,0.0,1,1
2022,64.0,1,1,2,0,21,4,4,0.0,1,2,0,4,0,0,5,1,3,0.0,1,1,1,0.0,1,1
2022,63.0,1,70,1,0,21,4,4,0.0,0,2,0,4,1,2,4,1,3,1.0,1,1,1,0.0,1,1
2022,63.0,2,58,1,0,8,4,5,0.0,1,0,0,3,0,0,4,0,0,3.0,1,1,1,0.0,1,1
2022,63.0,1,70,1,0,12,1,4,0.0,1,0,0,3,1,3,3,1,3,1.0,1,1,1,0.0,1,1
2022,63.0,1,89,1,0,22,4,5,0.0,1,2,0,4,1,3,4,1,3,1.0,1,1,1,0.0,1,1
2022,63.0,1,66,1,0,1,3,4,0.0,1,0,1,1,0,0,4,0,0,2.0,1,1,1,0.0,1,1
2022,63.0,2,35,2,1,10,4,4,0.0,1,2,1,3,0,0,3,1,1,3.0,1,1,1,0.0,1,1
2022,63.0,1,142,1,0,8,2,4,0.0,0,0,1,4,1,2,4,1,2,4.0,1,1,1,0.0,1,1
2022,63.0,1,172,1,0,6,3,4,0.0,1,3,1,3,0,0,3,0,0,1.0,1,1,1,0.0,1,1
2022,62.0,1,116,1,0,21,2,4,0.0,1,2,1,4,1,2,4,1,2,1.0,1,1,1,0.0,1,1
2022,62.0,1,31,2,1,21,3,5,0.0,1,2,0,2,0,0,4,1,1,2.0,1,1,1,0.0,0,1
2022,62.0,1,89,1,0,21,3,4,0.0,0,2,0,4,1,2,4,1,2,0.0,1,1,1,0.0,1,1
2022,62.0,1,8,2,1,9,3,5,0.0,1,2,1,4,0,0,6,1,2,2.0,1,1,1,0.0,0,1
2022,62.0,1,234,1,0,23,5,3,0.0,1,2,0,4,0,0,5,0,0,1.0,1,1,1,0.0,1,1
