Basvuru Yili,Degerlendirme Puani,Cinsiyet,Dogum Tarihi,Dogum Yeri,Ikametgah Sehri,Universite Adi,Universite Turu,Burslu ise Burs Yuzdesi,Burs Aliyor mu?,Bölüm,Universite Kacinci Sinif,Universite Not Ortalamasi,Daha Once Baska Bir Universiteden Mezun Olmus,Lise Adi,Lise Adi Diger,Lise Sehir,Lise Turu,Lise Bolumu,Lise Bolum Diger,Lise Mezuniyet Notu,Baska Bir Kurumdan Burs Aliyor mu?,Burs Aldigi Baska Kurum,Baska Kurumdan Aldigi Burs Miktari,Anne Egitim Durumu,Anne Calisma Durumu,Anne Sektor,Baba Egitim Durumu,Baba Calisma Durumu,Baba Sektor,Kardes Sayisi,Girisimcilik Kulupleri Tarzi Bir Kulube Uye misiniz?,Uye Oldugunuz Kulubun Ismi,Profesyonel Bir Spor Daliyla Mesgul musunuz?,Spor Dalindaki Rolunuz Nedir?,Aktif olarak bir STK üyesi misiniz?,Hangi STK'nin Uyesisiniz?,Stk Projesine Katildiniz Mi?,Girisimcilikle Ilgili Deneyiminiz Var Mi?,Girisimcilikle Ilgili Deneyiminizi Aciklayabilir misiniz?,Ingilizce Biliyor musunuz?,Ingilizce Seviyeniz?,"Daha Önceden Mezun Olunduysa, Mezun Olunan Üniversite",id
2022,67.0,Kadın,19.04.2002 00:00,Adana,İstanbul,Marmara Üniversitesi,Devlet,,Hayır,Diğer,3,3.50 - 4.00,,Adana Gündoğdu Fen Lisesi,,Adana,Özel,Dil,,75 - 100,Hayır,-,-,Ortaokul,Hayır,-,Lise,Evet,Özel Sektör,2.0,Evet,,Evet,Bireysel,Evet,"Üniversite kulüplerinde aktif rol alıyorum ( Girişimcilik, Sosyal Yardımlaşma, Münazara ve Gazete)",,Evet,İşletme Kulübü bünyesinde Girişimcilik Departmanındaydım. Birçok girişimci konuşmasını organize edip konuklarımıza girişimcilik alanında soru sorma ve konuşmalarını dinleme şansı elde ettim.,Evet,,,57503
2022,67.0,Kadın,10.05.2001 00:00,Antalya,İstanbul,Boğaziçi Üniversitesi,Devlet,,Hayır,Uluslararası Ticaret,4,3.50 - 4.00,,Özel Antalya Anadolu Lisesi,,İstanbul,Özel,Eşit Ağırlık,,75 - 100,Hayır,-,-,Üniversite,Hayır,-,Üniversite,Evet,Özel Sektör,1.0,Evet,,Evet,Lider/Kaptan,Evet,Bir süreliğine Af Örgütü'nde gönüllü çalıştım. Falez İnteract üyesiydim.,,Evet,Size&Me adlı girişimde 7 aylığına kurucu ortak olarak bulundum.,Evet,,,57504
2022,67.0,Kadın,9.04.2001 00:00,Diğer,İzmir,Dokuz Eylül Üniversitesi,Devlet,,Hayır,Uluslararası İlişkiler,4,3.50 - 4.00,,23 Saylılı Okul,,Diğer,Devlet,Eşit Ağırlık,,75 - 100,Hayır,-,-,Yüksek Lisans,Evet,Kamu,Yüksek Lisans,Evet,Özel Sektör,2.0,Evet,,Evet,Bireysel,Evet,"Liseye başladığmdan beri gönüllülük hayatımın en önemli parçalarından birisi oldu. Çevre, iklim, özel eğitim başta olmakla farklı alanlarda 100-de fazla projede gönüllü oldum ve 30-dan fazla proje başlattım. Öze ihtiyaç sahibi öğrenciler için ""Night to Shine"" balosu, Michigan gölü kıyısı temizlenmesi, ""No Food Waste"" ve diğer geridönüşüm projeleri bunlara örnek olabilir. DEÜ Gönüllüler Topluluğu, Pi Gençlik Derneği, AİESEC'in aktif gönüllüsüyüm. Ayrıca, bu sene spor gönüllülüğü yapmaya başladım.",,Evet,"2021 senesinde 2 yakın arkadaşımla birlikte ""Made In Love"" isimli saç aksesuarları markamızı kurduk. Bu girişimin özel yanı ismini ""Zippie"" verdiğimiz bu aksesuarların fikrinin ve tasarımının kendimize ait olması. Hem saç tokası hem de cüzdan gibi kullanılabilen bu fermuarlı aksesuarlar, farklı ve yeni bir ürün oldukları için girişimimizin ilk günlerinden itibaren çok dikkat gördü ve ilk ayda 128 satış yaptık. Satışlarımızın artmasıyla tasarım çeşitlerimizi ve ürünlerimizi de artırdık ve ilk Azerbaycan'da başlayan satışlarımız Türkiye, Fransa, ve Amerika gibi ülkelere de yayılarak global boyut kazandı. 2022 senesinin ocak ayında çıkardığımız ""Harry Potter"" ve ""FRIENDS"" kolleksiyonlarımızdan sonra ABD'nin Wisconsin eyaletinden bir tasarım mağazasından işbirliği teklifi aldık ve artık Amerika'da Zippie'lerimizi satan biz partnerimiz var! Küçük bir odada başladığımız bu projenin bu kadar büyümesi ve sevgiyle ürettiğimiz ürünlerimizi insanların da sevgiyle kullanması bizi çok mutlu ediyor!",Evet,,,57505
2022,66.0,Erkek,20.03.2001 00:00,Hatay,İstanbul,Koç Üniversitesi,Özel,,Evet,Bilgisayar Mühendisliği,4,3.50 - 4.00,,Selim Nevzat Şahin Anadolu Lisesi,,Hatay,Devlet,Sayısal,,75 - 100,Evet,Koç Üniversitesi Anadolu Bursiyerliği Programı,1000₺ ve üstü,İlkokul,Hayır,-,Ortaokul,Evet,Diğer,1.0,Evet,,Evet,Lider/Kaptan,Evet,"Expo2021 Hatay Gönüllüsü, Tema Vakfı gönüllüsü - Hatay'da ağaç dikme ve fidan bağışlama gibi çeşitli etkinliklerine dahil oldum. KoçGönüllüleri Eğitim gönüllüsü olarak, 8.sınıf öğrencilerine mentörlük, matematik, fen dersleri verdim.",,Evet,"Katıldığım birçok programda girişim fikri üzerine çalıştık. Sonrasında hayata geçirmedik ancak personanın tanımlanması, asansör konuşması, gelir modeli, vb. bir girişimin kurulumundaki bütün aşamalar üzerinde bir ekiple birlikte çalıştım ve sunumlar yaptım.",Evet,,,57506
2022,66.0,Kadın,4.02.2000 00:00,İzmir,Ankara,Orta Doğu Teknik Üniversitesi,Devlet,,Hayır,Mimarlık,4,3.50 - 4.00,,Özel Ege Lisesi,,İzmir,Özel,Sayısal,,75 - 100,Evet,"ODTÜ İlk 500 başarı bursu, Mimar Kerem Türker Vakfı Başarı bursu",1000₺ ve üstü,Üniversite,Hayır,-,Üniversite,Hayır,-,1.0,Evet,,Evet,Takım Oyuncusu,Evet,"2018-2021 yılları arasında ODTÜ bünyesindeki Çankaya ve Yenimahalle belediyelerince de desteklenen ""Ankara Gönüllü Takımı""nda aktif gönüllü olarak yer aldım. Hafta sonları 11-14 yaşındaki kardeşlerimizin evlerine giderek onlara kişisel karakter gelişimleri hakkında mentorlük ettim, oyunlar oynadık ve programımız dahilinde çeşitli konuları tartıştık.",,Evet,"Lisede instagram'da başladığım ""oncekahvem"" isimli iyi yemek, kahve ve mekân eleştirisi hesabımı 2018 senesinde ODTÜ özelinde açtığım @odtudeyemek isimli hesapla genişlettim. Bu hesapta ODTÜ içindeki kantin ve özel işletmelerin değerlendirmesini yapmanın yanı sıra, tüm işletmelerin öze çıkanlarının ve çalışma saatlerinin derlendiği ""ODTÜ GOURMETGUIDE"" ismini verdiğim rehberi hazırladım. Halen kantinlerle sosyal medya ve telefon üzerinden kurduğum iletişim ağı sayesinde kapüs içindeki fiyat ve lezzetlere erişiyor, bunları değerlendirmelerimle beraber ODTÜ'lülerle buluşturuyorum. Böylece herhangi bir kampüse uyarlanabilecek bir yemek rehberi(fiyatlar, çalışma saatleri vs.) sisteminin protiplediğime ve böyle bir sistemin başarılı olabileceğini kanıtladığıma inanıyorum. *odtudeyeme, 2022 yılında ODTÜ IEEE topluluğu tarafından ""ODTÜ'nün en başarılı sosyal medya hesabı"" seçildi!",Evet,,,57507
2022,66.0,Kadın,7.02.2003 00:00,İzmir,İstanbul,Koç Üniversitesi,Özel,,Evet,Ekonomi,2,3.50 - 4.00,,Tofaş Fen Lisesi,,Bursa,Devlet,Eşit Ağırlık,,75 - 100,Evet,KYK ilk 100 derecesi bursu ve Koç Vakfı,1000₺ ve üstü,Doktora,Evet,Kamu,Doktora,Evet,Kamu,1.0,Evet,,Evet,Diğer,Evet,Ücretsiz olarak ihtiyacı olan ortaokul ve lise öğrencilerine ders ve mentorluk desteği sağladım.,,Evet,"Ankara Fen lisesinden tanıdığım bir grup arkadaşımı ve Bursa Fen Lisesinden birkaç arkadaşımı fasilite ederek Gönüllü Gençlik Ağı isimli bir sosyal girişim kurdum. Bu girişimi kurarken iş modeli canvası, gelir modeli, yatırımcı bulma ve networking gibi kavramlardan haberdar değildim. Tamamen amatör bir ruhla Bursa'nın atıl bir bölgesi olan Orhaneli köylerindeki ortaokul sekizinci sınıfların kitap desteğini sğalayacak sponsorlar ve öğrencilere ücerstiz özel dersler verecek deneyimli gönüllü öğretmenler bulduk. Aynı zamanda Ankara Fen ve Bursa Fen'den bir grup öğrenciyi ortaokul öğrencilerine mentor atayarak öğrencileirn gelişimlerini birebir takip ettik. Şu an hali hazırda bir arkadaşımla birlikte bu projeyi devam ettiriyor, ekibi yönetiyor ve tam bir girişim olması için gelir modeli geliştirmeye çalışıyorum.",Evet,,,57508
2022,66.0,Erkek,11.12.1998 00:00,Niğde,İstanbul,Koç Üniversitesi,Özel,,Evet,Uluslararası İlişkiler,4,3.50 - 4.00,,Cağaloğlu Anadolu Lisesi,,İstanbul,Devlet,Eşit Ağırlık,,75 - 100,Evet,KYK,500₺ - 999₺,İlkokul,Hayır,-,Ortaokul,Hayır,-,1.0,Evet,,Evet,Bireysel,Evet,"Almanya'da mezar temizliği, aşevlerinde garsonluk, düzenli olarak hayvan bakımı",,Evet,Düzenli olarak Girvak'a başvurup eleniyorum; Figopara ve Iyzico isimli girişimlerde çalıştım.,Evet,,,57509
2022,66.0,Kadın,14.12.1999 00:00,Hatay,Aydın,Aydın Adnan Menderes Üniversitesi,Devlet,,Hayır,İngilizce Öğretmenliği,4,3.50 - 4.00,,Dr.Mustafa Gençay Anadolu Lises,,Hatay,Devlet,Dil,,75 - 100,Hayır,-,-,Üniversite,Hayır,-,Yüksek Lisans,Hayır,-,2.0,Evet,,Evet,Bireysel,Evet,"Doğduğum yerin (Antakya) çok çeşitli olmasından kaynaklı dünyanın her yanından birçok insanla tanıştım. Lise boyunca kilise aracılığı ile, gelen kişi ve gruplara şehri tanıtmakla görevli olarak çalıştım.",,Evet,Hatay ve Aydın’da İngilizce konuşma kulüpleri kurdum. Özel günler için istenilen yiyecekler için sipariş oluşturuyorum ve brunch etkinlikleri yönetiyorum.,Evet,,,57510
2022,66.0,Erkek,15.07.2002 00:00,Zonguldak,Zonguldak,Koç Üniversitesi,Özel,,Evet,Kimya,3,3.50 - 4.00,,TED Karadeniz Ereğli Tam Burslu,,Zonguldak,Özel,Sayısal,,75 - 100,Evet,KYK,500₺ - 999₺,Üniversite,Hayır,-,Ortaokul,Hayır,-,1.0,Evet,,Evet,Bireysel,Evet,"İnteract Ereğli Başkan yardımcılığı yaptım, ülkemizin çeşitli yerlerinde imkanı olmayan insanlarla buluşup, onlara yardımcı olduk.",,Evet,"Kendi girişimimi var, ailemde kimse çalışmadığı, çalışamadığı için, kardeşimin, ailemin yaşantısını ben devam ettiriyorum. Bu girişimden kazandığım eser miktarda para ve kendi çalıştığım iş ile bir ailenin işlemesini sağlıyorum.",Evet,,,57511
2022,66.0,Kadın,1.01.2001 00:00,Konya,Ankara,Ankara Üniversitesi,Devlet,,Hayır,Hukuk,4,3.50 - 4.00,,Konya Meram Anadolu Lisesi,,Konya,Devlet,Eşit Ağırlık,,75 - 100,Evet,Konya Maarif Kolejliler Derneği (Lisemin Mezunlar Derneği),0 - 499₺,Üniversite,Hayır,-,Lise,Evet,Özel Sektör,2.0,Evet,,Evet,Bireysel,Evet,GETEM yani Boğaziçi Üniversitesi Görme Engellier Birimi'nde görme engelliler için kitap seslendiriyorum. Görme engelli bireylere faydalı olabilmek hatta kitap okumak gibi ufuk açıcı bir etkinlikte onlarla yanyana olabilmek bana insan olduğumu ve bu dünyaya faydalı bir şeyler yapabildiğimi hatırlatıyor. Bu gönüllü çalışmamın beni duygusal olarak da tatmin ettiğini düşünüyorum.,,Evet,"Dünya çapındaki hukukçuların bir araya gelip birbirilerine katkıda bulanabilecekleri, birlikte etkinlikler yapabilecekleri, ileriye dönük mesleki kaygılarını tartışıp bunlara çözüm üretmeye çalışacakları bir öğrenci topluluğu kurmaya çalışmıştım. Girişimim başarıya ulaşamadı.Ama en azından deneme cesaretini gösterdiğim için kendimle gurur duyuyorum.",Evet,,,57512
